gene_list	this_sample
WNT2B	6.9
ST7L	35.0
CAPZA1	151.8
MOV10	58.9
RHOC	445.4
AL603832.3	5.7
PPM1J	3.3
TAFA3	0.0
SLC16A1	28.6
LRIG2	23.2
MAGI3	21.8
PHTF1	30.5
RSBN1	17.5
PTPN22	25.4
BCL2L15	51.3
AP4B1	40.8
DCLRE1B	4.9
HIPK1	53.7
OLFML3	29.6
SYT6	0.7
TRIM33	44.8
BCAS2	20.2
DENND2C	3.1
AMPD1	0.0
NRAS	32.6
CSDE1	173.4
SIKE1	18.5
SYCP1	0.0
TSHB	0.0
TSPAN2	4.1
NGF	0.9
VANGL1	20.5
CASQ2	0.2
NHLH2	0.0
SLC22A15	18.6
MAB21L3	0.4
ATP1A1	540.2
CD58	90.9
IGSF3	32.0
CD2	4.5
PTGFRN	45.5
CD101	8.3
TTF2	31.7
TRIM45	5.0
VTCN1	0.1
MAN1A2	36.6
TENT5C	2.9
GDAP2	50.3
WDR3	14.8
SPAG17	7.8
TBX15	39.9
WARS2	22.5
HAO2	0.0
HSD3B2	0.3
HSD3B1	0.4
ZNF697	10.3
PHGDH	8.0
HMGCS2	47.1
REG4	4844.5
ADAM30	0.0
NOTCH2	103.4
SEC22B	55.9
AC253572.1	9.9
NBPF26	70.0
PPIAL4A	0.1
FCGR1B	6.2
FAM72B	2.9
SRGAP2C	9.8
H3-2	2.9
FAM72C	1.9
PPIAL4E	0.2
NBPF15	104.2
PPIAL4F	0.1
SRGAP2B	10.3
FAM72D	2.4
NBPF20	13.6
GPR89A	54.2
PDZK1	30.1
CD160	8.1
RNF115	30.3
POLR3C	34.5
NUDT17	9.9
PIAS3	55.3
ANKRD35	0.3
ITGA10	36.0
PEX11B	44.8
RBM8A	130.6
AC243547.3	2.5
LIX1L	35.7
ANKRD34A	0.9
POLR3GL	24.0
TXNIP	1137.9
HJV	0.4
NBPF10	34.3
NOTCH2NLA	63.6
PPIAL4H	1.7
NBPF12	66.6
PRKAB2	42.6
FMO5	177.8
CHD1L	76.3
BCL9	23.3
ACP6	33.2
GJA5	2.2
GJA8	0.0
GPR89B	49.1
NBPF11	40.4
PPIAL4G	0.2
NBPF14	70.6
NOTCH2NLB	15.2
NUDT4B	46.9
PDE4DIP	68.5
NBPF9	41.9
NOTCH2NLC	29.3
AC242842.3	0.8
NBPF19	27.3
PPIAL4C	1.4
FCGR1A	16.6
H2BC18	72.8
H4C14	80.7
H3C14	25.5
H2AC18	126.9
H2AC19	124.2
H3C15	25.9
H4C15	48.0
H2BC21	64.1
BOLA1	14.2
SV2A	2.4
SF3B4	121.3
MTMR11	511.5
OTUD7B	39.8
VPS45	95.6
PLEKHO1	34.0
ANP32E	38.5
CA14	9.5
APH1A	133.6
C1orf54	31.3
CIART	8.2
MRPS21	53.0
PRPF3	125.4
RPRD2	55.1
TARS2	47.4
ECM1	91.6
ADAMTSL4	117.1
MCL1	368.8
ENSA	193.7
GOLPH3L	66.5
HORMAD1	4.6
CTSS	175.7
CTSK	56.4
ARNT	68.2
CTXND2	0.1
SETDB1	97.3
CERS2	258.2
ANXA9	10.8
MINDY1	71.8
PRUNE1	24.7
BNIPL	7.8
C1orf56	15.2
CDC42SE1	239.4
MLLT11	3.7
GABPB2	22.2
SEMA6C	5.0
TNFAIP8L2	15.0
SCNM1	39.2
LYSMD1	12.2
TMOD4	6.5
VPS72	35.0
PIP5K1A	96.5
PSMD4	180.2
ZNF687	37.5
PI4KB	104.4
RFX5	33.6
SELENBP1	165.1
PSMB4	210.2
POGZ	176.3
CGN	137.1
TUFT1	84.1
SNX27	52.0
CELF3	1.3
RIIAD1	0.4
MRPL9	54.8
OAZ3	3.1
TDRKH	16.6
LINGO4	0.9
RORC	28.0
C2CD4D	1.8
THEM5	1.6
THEM4	28.1
S100A10	1365.0
S100A11	1141.4
TCHHL1	0.6
TCHH	3.0
RPTN	5.4
HRNR	8.3
FLG	3.9
FLG2	0.9
CRNN	0.1
LCE5A	0.0
CRCT1	1.5
LCE3E	0.0
LCE3D	0.0
LCE2D	0.0
LCE2C	0.0
LCE2B	0.0
LCE2A	0.0
LCE4A	0.0
C1orf68	0.0
KPRP	0.0
LCE1E	0.0
LCE1D	0.0
LCE1C	0.0
LCE1B	0.0
LCE1A	0.0
LCE6A	0.0
AL162596.1	0.0
SMCP	0.0
IVL	0.0
SPRR5	0.0
SPRR4	0.0
SPRR3	0.5
SPRR1B	0.0
SPRR2D	0.0
SPRR2A	0.0
SPRR2B	0.0
SPRR2E	0.0
SPRR2F	0.0
SPRR2G	0.0
LELP1	0.0
PRR9	0.0
LORICRIN	0.0
PGLYRP3	0.0
PGLYRP4	0.0
S100A9	16.2
S100A12	0.0
S100A8	2.9
S100A7A	0.0
S100A7L2	0.0
S100A7	0.0
S100A6	3596.7
S100A5	4.7
S100A4	370.9
S100A3	4.7
S100A2	15.2
S100A16	412.2
S100A14	28.3
S100A13	201.8
S100A1	23.7
CHTOP	115.0
SNAPIN	32.9
ILF2	146.0
NPR1	2.1
INTS3	109.5
SLC27A3	12.8
GATAD2B	57.8
DENND4B	81.5
CRTC2	54.8
SLC39A1	106.6
AL358472.7	0.0
CREB3L4	19.8
JTB	73.1
AL358472.6	25.9
RAB13	26.6
RPS27	667.2
NUP210L	1.3
TPM3	442.9
C1orf189	0.8
C1orf43	125.4
UBAP2L	172.8
HAX1	95.5
AQP10	0.0
ATP8B2	18.4
IL6R	34.8
SHE	5.7
TDRD10	0.6
UBE2Q1	56.7
CHRNB2	7.2
ADAR	303.1
KCNN3	0.9
PMVK	27.8
PBXIP1	82.2
PYGO2	33.6
SHC1	194.3
CKS1B	41.0
FLAD1	47.2
LENEP	3.6
ZBTB7B	117.6
DCST2	6.7
DCST1	8.0
ADAM15	149.9
EFNA4	10.6
AL691442.2	0.0
EFNA3	3.6
EFNA1	205.9
SLC50A1	44.6
DPM3	9.6
KRTCAP2	123.3
AL713999.1	0.0
TRIM46	6.2
MUC1	330.9
THBS3	76.4
MTX1	26.7
GBA	66.1
FAM189B	19.5
SCAMP3	69.3
CLK2	101.0
HCN3	7.4
PKLR	0.5
FDPS	156.0
RUSC1	56.8
ASH1L	91.6
MSTO1	65.7
YY1AP1	97.9
DAP3	160.7
GON4L	96.2
SYT11	9.7
RIT1	43.6
KHDC4	166.5
RXFP4	6.4
ARHGEF2	203.7
SSR2	223.0
UBQLN4	37.4
LAMTOR2	51.8
RAB25	21.4
MEX3A	1.2
LMNA	411.2
SEMA4A	15.8
SLC25A44	25.8
PMF1-BGLAP	4.4
PMF1	48.3
BGLAP	2.5
PAQR6	15.2
SMG5	114.9
TMEM79	11.9
GLMP	72.4
VHLL	0.8
CCT3	189.8
TSACC	2.9
RHBG	0.0
C1orf61	3.4
MEF2D	84.9
IQGAP3	64.4
TTC24	0.0
NAXE	79.0
GPATCH4	31.3
HAPLN2	0.7
BCAN	6.3
NES	10.1
CRABP2	12.0
ISG20L2	37.6
RRNAD1	40.4
MRPL24	68.4
HDGF	294.9
PRCC	68.4
SH2D2A	3.8
NTRK1	0.9
INSRR	0.0
PEAR1	24.8
LRRC71	1.3
ARHGEF11	81.7
ETV3L	0.7
ETV3	43.8
FCRL5	0.4
FCRL4	0.3
FCRL3	0.4
FCRL2	0.2
FCRL1	1.0
CD5L	0.2
KIRREL1	44.5
AL138899.3	0.2
CD1D	2.1
CD1A	19.5
CD1C	2.6
CD1B	0.6
CD1E	5.3
OR10T2	0.0
OR10K2	0.0
OR10K1	0.0
OR10R2	0.0
OR6Y1	0.0
OR6P1	0.0
OR10X1	0.0
OR10Z1	0.0
